Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
AMZN ,0.607135012,0.296,0.311135012,11448,0.195488722,0,0,4964,1.560082517,-2.28712522,107410.98,1.758155271,37.8874709,271.9265316,0.5102038,61093,0.270732,15122,0.247524266,2835,0.046404662,0.457583548,-39,-0.000638371,-1.061806656,0.3785,-0.722588684,4180,0.070971048,-3785,1.090005522,395,-0.811185468,-0.004891,-0.001349,-0.001696,-0.000942,0.011065,#VALUE!,5.147,0.6025,1.1207,0.7795,1.1044,0.118833688,691097.2851,-1563.360708,2.112738402,60.59570313,1.860182181,0.074705776,37.73183338,0.011065097,92,7.347826087,662.7252386,13272,0.001508921
LYB ,0.341680266,0.296,0.045680266,2732,1.565258216,40,-0.259259259,4400,0.091269841,0.294751723,34547.1219,0.761755202,6.104810373,9.269418272,0.605436039,45352,-0.058755,5757,0.126940377,5659,0.124779503,0.074221716,2848,0.062797672,0.335208626,5.2754,0.041005604,4787,0.673776224,-1060,0.00952381,3727,1.059116022,0.262102,0.12104,0.216889,0.192131,0.103105,0.041706,4.6622,0.5361,2.4109,1.2661,4.516,0.143642659,3359407.407,990.0527624,1.927452772,39.35951337,0.721303801,0.003792556,28.24314783,0.103104604,655,7.138931298,10.82187691,17407,0.092405413
AXP ,0.519894703,0.296,0.223894703,22250,-0.106174427,0,0,62287,-0.011223291,4.141187422,103552.4,3.065403629,10.71083988,17.17571737,0.1133843,33781,0.046435,—,0,9668,0.286196383,-0.05159898,4433,0.131227613,-0.091039574,4.1775,0.122953684,7082,-0.274979525,-1053,-0.114381833,6029,-0.29723744,0.235297,0.029249,0.055007,0.081157,0.204437,0.187102,—,—,—,—,6.7255,0.063739226,531984.252,1649.080147,0.220447211,329.8051467,1.931257216,#VALUE!,76.73364296,#VALUE!,#N/A N/A,#N/A N/A,13.75953419,80044,0.072676879
VZ ,0.13702284,0.296,-0.15897716,3563,-0.744661029,52376,0.048820537,51987,-0.057386858,1.634841323,224490.2858,1.937833726,7.579010324,14.66202637,0.095947438,115846,0.044834,69571,0.600547278,29620,0.25568427,0.0083061,875,0.007553131,-0.636023295,2.1898,0.018511628,31486,0.05728677,-16175,-0.004247722,15311,0.131131797,0.025316,0.00384,0.087789,0.10831,0.113599,-0.142248,1.784,0.1322,0.7878,0.5987,1.9466,0.062516042,631657.5791,5716.273385,0.508449953,60.78004981,1.065632909,0,37.80322862,0.113599088,2571,5.118630883,19.75956983,162984,0.050608389
AVGO ,0.341411922,0.296,0.045411922,1084,0.307599517,0,0,3,-0.5,-1.466757123,7223.5035,3.055627538,9.801225916,15.98120243,-0.028952069,2364,0.011986,1142,0.483079526,737,0.311759729,-0.005398111,563,0.238155668,0.019927536,2.278,-0.003150709,693,-0.045454545,-241,1.151785714,452,-0.263843648,0.254463,0.212133,0.254381,0.255632,0.246193,0.192542,14.415,3.1329,4.8873,4.1185,2.8755,0.125304682,656666.6667,250.6200066,0.890730972,0.124018189,3.50607022,0.141708968,0.123864575,0.246192893,1,582,14.85074627,2405,0.067336683
BA ,0.791394194,0.296,0.495394194,13558,0.202803407,100,0.075268817,10409,-0.158596718,-0.388717442,53895.3168,0.659689549,6.652921466,9.2842923,-0.034412622,81698,0.188594,13033,0.159526549,8101,0.099157874,0.079557569,3900,0.047736787,-0.029367845,5.2096,0.089395872,7508,0.866268954,-1703,-0.005837712,5805,1.512987013,0.831379,0.046186,0.259119,0.278392,0.076991,0.541685,2.3839,0.3014,1.274,0.4342,4.4087,0.100729781,468451.8349,-1310.193459,0.96751578,174.4427686,0.697074004,0.040368185,63.56253053,0.076990869,442,14.23076923,14.46569082,20861,0.069129087
CAT ,-0.0132418,0.296,-0.3092418,5490,0.795878312,-27423,0.153244459,40143,0.160470629,3.043474442,65927.9129,1.000803232,5.790261101,610.443638,-0.007446392,65875,0.095397,18023,0.273593928,11386,0.172842505,0.176239669,5681,0.086239089,0.152800325,8.5487,0.049499724,5184,-0.260485021,-5076,0.293577982,108,-0.96500324,0.373566,0.066672,0.114372,0.120802,0.13014,0.286832,2.4257,0.1866,1.4325,0.8077,1.0213,0.082687924,525566.2553,179.5827117,0.773108159,228.3187351,0.887719273,0.037434535,69.54179298,0.130140417,467,18.35760171,10.48212254,57725,0.095400526
JPM ,0.313296074,0.296,0.017296074,590850,0.130473714,9058,0.161282051,695583,0.028146114,0,—,0,0,0,0,108184,-0.023945,—,0,—,0,0,19877,0.183733269,0.131432149,5.9074,0.140050563,25079,-0.738575241,0,0,25079,-0.738575241,0.107216,0.009204,0.02419,0.028353,0.298018,0.081708,—,—,—,—,—,0.041710288,418097.568,-251.2538533,0.046782948,340.856769,1.548250811,#VALUE!,77.31689587,#VALUE!,#N/A N/A,#N/A N/A,7.44305156,910328,0.134353496
CVX ,0.13543988,0.296,-0.16056012,21205,0.316018122,1308,0.637046308,12192,0.200945626,-0.186119027,202810.9097,0.91118209,4.188058268,25.75703705,-0.013729484,222580,-0.058006,41465,0.186292569,48426,0.217566718,-0.054364382,26179,0.117616138,-0.026622049,12.1208,-0.074966993,38812,-0.055554204,-30938,0.167471698,7874,-0.460500171,0.203012,0.118335,0.186544,0.14133,0.157305,0.149938,3.9078,0.6198,1.6287,1.2335,1.2545,0.106337856,3590000,1766.378803,1.006111342,8.845551106,0.947403181,0.002911313,8.126699728,0.157305239,0,#N/A N/A,8.92186144,154445,0.112084233
KO ,0.122501339,0.296,-0.173498661,16551,0.17926612,378,0.321678322,32610,0.141486978,1.258443696,178438.25,3.716147406,13.98309302,22.68763509,0.030475319,48017,0.031692,28964,0.603203032,12761,0.265760043,0.052280036,9019,0.18782931,0.050675676,2.0459,0.060601348,10645,0.123601436,-2780,-0.047945205,7865,0.200030516,0.279984,0.108566,0.148756,0.129578,0.224483,0.137367,4.6934,0.5949,1.0901,0.766,3.8291,0.067772284,318204.1087,3607.134721,0.578002745,98.31765557,3.400254077,0,49.57584603,0.224482996,397,27.1511335,17.71822499,66302,0.056439062
ABBV ,0.555787229,0.296,0.259787229,7976,11.2143951,0,0,15672,325.5,1.104636142,61577.7325,3.350257481,8.838486077,10.24247048,0,18380,0.053657,13872,0.754733406,6967,0.379053319,0.424161897,5275,0.286996736,0.536556947,3.589,0.136658749,6345,0.01568753,-333,-0.064606742,6012,0.020539806,0.689768,0.22674,0.346337,0.375902,0.316485,0.689768,3.95,1.1771,2.2659,1.8114,19.0541,0.178236453,854883.7209,2598.654951,0.790044918,466.0124888,2.930920566,0.151142546,82.33254531,0.31648531,104,55.93269231,9.518061748,18081,0.105063407
DIS ,0.246939556,0.296,-0.049060444,3387,0.063422292,2199,0.063346228,14328,0.023794212,0.995631996,107244,2.536638441,9.759213759,25.64418938,0.624270408,42278,0.033869,18810,0.444912248,10989,0.259922418,0.139701307,5682,0.13439614,0.182026212,3.0843,0.213813459,7966,0.138976265,-3784,0.063220006,4182,0.217467249,0.147309,0.077295,0.118243,0.114053,0.212924,0.119403,4.6839,0.2643,1.0699,0.757,2.1052,0.097982098,254686.747,-734.5741669,0.575124811,34.14843415,2.218419036,0,25.45570835,0.212923979,472,19.0720339,16.95011421,55556,0.058996653
EXR ,0.210201217,0.296,-0.085798783,30.785,0.16239994,53.524,-0.023534134,1574.28,0.158194127,6.661782351,5626.7459,13.74401777,24.28524649,-14.31836686,0.527267945,409.396,0.241233,—,0,231.694,0.565941045,0.335489077,117.309,0.286541637,1.325298817,1.14,1.028108877,215.879,0.497454288,-608.853,1.9408216,-392.974,5.250481144,0.093445,0.040867,0.045992,0.06867,0.38408,0.02454,—,—,—,—,0.3546,0.083524729,179323.6969,-138.8446281,0.142621818,101.8733203,9.045713075,#VALUE!,50.46398413,0.38408045,71.85,2.188462074,31.92105263,3119.611,0.031327288
FLT ,1.222614812,0.296,0.926614812,283.649,-0.005295291,0,0,945.391,0.352910703,1.781654192,5009.4217,7.080114454,13.48721582,43.05513326,0.752288259,707.534,0.361713,—,0,371.42,0.524950038,0.443108305,216.199,0.305566941,0.467397428,2.539,0.435842334,135.46,-0.515565489,-19.111,0.420469749,116.349,-0.562878751,0.250628,0.085685,#VALUE!,0.121068,0.45924,0.250628,3.6789,0.2483,1.0465,0.9692,7.0881,0.082847515,266993.9623,122.2171078,0.280413494,103.4546115,6.318490984,0,50.84898825,0.459240121,#N/A N/A,#N/A N/A,21.13074912,2095.72,0.047324399
XOM ,0.125892825,0.296,-0.170107175,9582,-0.243367025,5797,-0.086798992,11581,-0.320084542,0.030394259,397444.1,0.948327607,6.043030911,18.14896114,-0.035261573,419100,-0.033276,65598,0.156521117,65769,0.156929134,-0.056222825,44880,0.107086614,0.093034584,8.0499,-0.043954869,56170,0.014906496,-34271,0.106408394,21899,-0.101395158,0.280273,0.135009,0.265245,0.175671,0.119019,0.215207,4.7441,0.1494,1.005,0.6949,1.639,0.102780868,5588000,9376.030918,1.260741193,6.746475591,0.9557466,0.00248628,6.320092119,0.119019327,327,152.5412844,10.75166766,193108,0.093008827
PSX ,0.374816338,0.296,0.078816338,3474,0,31,0.068965517,6974,16.83631714,0.793470868,36641.2776,0.220838346,8.306796101,14.11995283,0,165919,-0.089023,10231,0.061662619,4411,0.026585261,-0.046682516,4124,0.024855502,-0.136335079,8.3018,0.358456604,4296,-0.141829804,-1701,0.664383562,2595,-0.348644578,0.187289,0.090355,0.166493,0.084585,0.021125,0.174286,5.0003,0.2783,1.439,1.1118,2.5256,0.099744078,12290296.3,-117.4970916,3.635226327,33.51917716,0.201249637,0.000421893,25.10439165,0.021124766,246,14.24796748,6.396200922,29880,0.156342806
GE ,0.291155355,0.296,-0.004844645,125778,-0.046233175,-204183,-0.162236792,337476,-0.114398929,8.528987551,225929.0687,1.567634617,9.10233547,13.93591591,0.159599334,144121,0.018674,55358,0.384107798,24821,0.17222334,0.003111866,13641,0.094649635,0.039710366,1.4278,0.150060411,31331,-0.060793189,-15119,0.196407375,16212,-0.217643085,0.113929,0.019441,0.031124,0.040947,0.108444,0.056497,0.9322,0.8686,1.1123,1.0061,2.0723,0.053036102,472527.8689,-6323.034627,0.205400198,262.6885654,1.532585605,0.036080793,72.42813545,0.108443599,1353,11.55136733,14.70109295,465946,0.068022153
HPQ ,0.710266648,0.296,0.414266648,11301,0.405072734,397,0.047493404,28436,-0.071750343,-2.874035559,44719.55,0.371557533,-7.500763167,6.514136926,-0.411201452,120357,-0.054132,27972,0.232408584,-5962,-0.049535964,-1.406657118,-12650,-0.105103982,-2.78823862,2.5682,-0.332310732,10571,-0.16362054,-3706,-0.183520599,6865,-0.152469136,-0.41434,-0.106175,#VALUE!,-0.189764,-0.091868,#VALUE!,1.8129,0.2422,1.0851,0.6634,2.8524,0.06972795,362739.6022,-14740.09033,1.010193676,124.5390444,0.227156709,0.028240983,55.46431567,-0.091868358,#N/A N/A,#N/A N/A,5.392957771,57210,0.185427004
HD ,0.448168272,0.296,0.152168272,1987,2.64587156,0,0,10788,0.106575033,1.05489632,77766.19,1.10471184,9.321130289,14.32158195,0.130846861,70395,0.035266,24262,0.34465516,8343,0.11851694,0.104009528,3883,0.055160168,0.16327142,2.494,0.24079602,6651,0.450599782,-1221,0.114051095,5430,0.556319862,0.211107,0.096301,0.149005,0.148622,0.094623,0.12238,4.949,0.2119,1.5486,0.3447,5.4472,0.094878735,212673.716,1538.026309,1.745842789,60.27489105,0.995623837,0,37.60719515,0.094623198,606,10.99174917,17.99108505,28709,0.055583084
IBM ,-0.075968486,0.296,-0.371968486,11129,-0.066515685,124,0.278350515,30234,0.027109662,0.741711313,233260.7783,2.267441514,9.055857532,15.04519984,0.007618968,102874,-0.037805,50361,0.489540603,25758,0.250383965,0.026174256,16604,0.161401326,0.047240618,15.4802,0.17865355,19586,-0.013150602,-4082,-0.006329114,15504,-0.014931063,0.851531,0.140923,0.342812,0.295313,0.20493,0.66253,5.2886,0.2551,1.1331,0.9131,4.7981,0.08631265,236902.5852,8255.547239,0.873123244,159.2604298,2.127335451,0.056535179,61.42874558,0.204930303,459,45.93028322,12.37385515,54726,0.080815557
CXO ,0.347203217,0.296,0.051203217,2.88,7.421052632,0,0,3125.378,0.474664784,2.362336055,11547.589,6.264458188,8.736366154,-7.51603854,-0.024774028,1843.35,0.202511,920.292,0.499249736,1321.784,0.717055361,0.15724059,431.689,0.234187213,-0.21244324,3.3137,-0.102877873,1237.478,0.03169765,-2773.871,0.589073608,-1536.393,1.813226473,0.133921,0.055922,0.093198,0.073074,0.405054,0.133921,1.6944,0.0039,0.62,0.2715,0.4461,0.104470632,2474295.302,-1180.098865,0.238791171,90.16737657,4.509716766,#VALUE!,47.41474495,0.405053842,182.705,4.086675242,24.31106087,6600.14,0.04113354
JNJ ,0.349317712,0.296,0.053317712,21089,-0.346300487,0,0,16165,-0.176389667,-0.252060404,188125.4157,2.798485893,9.630172291,15.09592487,0.133082736,67224,0.033738,45566,0.677823396,19535,0.290595621,0.042311386,10853,0.161445317,0.122105045,5.1016,0.020013996,15396,0.076793957,-2934,0.01417214,12462,0.09267865,0.178055,0.092369,0.138493,0.158852,0.236062,0.069645,5.8377,0.8692,1.9008,1.3353,5.2474,0.069756377,526833.8558,8990.908827,0.572141061,24.93598248,2.845699215,0.114021778,19.95900779,0.236061526,532,29.82894737,13.61937417,81116,0.073424813
MCD ,0.086495235,0.296,-0.209504765,2336.1,0.000171255,0,0,13632.5,0.090565102,1.119220061,99744.567,3.618259767,9.88245108,25.46518088,-0.114497454,27567,0.020773,10816.3,0.392364058,10093.1,0.366129793,0.014922522,5464.8,0.198237023,-0.006959714,5.3651,0.018509378,6966.1,-0.025733906,-3049.2,0.117004909,3916.9,-0.113883673,0.368201,0.159845,0.208333,0.206477,0.312134,0.173037,6.1057,0.6865,1.4464,1.0906,2.2846,0.067138823,#N/A N/A,3842.557789,0.806330839,89.13859392,3.232158777,0,47.12871766,0.312134073,516.6,16.6562137,16.44145483,29224.8,0.060821868
MRK ,0.182488748,0.296,-0.113511252,16141,0.078079081,2443,0.00700742,20569,0.17436483,0.27348527,130781.4492,2.766865873,8.077416417,16.20989703,0.093411601,47267,-0.016234,30821,0.652061692,16191,0.342543424,0.072464728,6168,0.130492733,-0.016581633,2.4077,-0.113643057,10022,-0.190664621,-1954,0.134068485,8068,-0.24315197,0.114714,0.058393,0.090553,0.085774,0.194914,0.018505,3.8378,0.8797,1.8998,1.2979,5.129,0.075368585,569481.9277,401.1620618,0.447477043,37.08598525,2.633942074,0.172805551,27.05308291,0.194913999,714,12.90336134,17.00363123,77395,0.058810967
MMM ,0.458189027,0.296,0.162189027,5693,0.24409965,465,0.052036199,6001,0.161633759,0.039634539,64569.4597,2.159224843,8.3090284,16.92071795,0.11650245,29904,0.009895,14219,0.475488229,7771,0.259864901,0.048152145,4444,0.148608882,0.037590474,6.32,0.060402685,5300,0.003028009,-1484,0.076142132,3816,-0.022791293,0.269374,0.135711,0.205572,0.208518,0.216794,0.17011,6.6337,0.7308,2.1984,1.3858,3.5714,0.096390078,341070.064,1920.09172,0.913210774,33.26496674,2.154514948,0.05464152,24.96152406,0.21679374,171,37.9122807,14.6914557,24517,0.068066774
AWK ,0.147108366,0.296,-0.148891634,24.433,0.719786021,-38.777,-0.273757351,5595.274,-0.052450198,4.264020923,12103.6284,4.207193395,9.264332755,-402.4213984,0.058560408,2876.889,0.079008,—,0,1306.476,0.454128053,0.131190166,358.07,0.124464308,0.156508286,2.1132,0.225469729,955.598,0.182148481,-985.675,0.007855892,-30.077,-0.822695788,0.082514,0.02428,0.053278,0.05099,0.321518,0.044359,0.6056,0.0246,0.502,0.4318,0.9695,0.047095051,#N/A N/A,212.5198552,0.195073959,125.8782701,2.277252563,#VALUE!,55.72836645,0.321518488,303.023,3.052484465,17.5708584,11573.844,0.056912416
BAC ,0.31788557,0.296,0.02188557,349370,-0.02216413,18768,0.020166331,673162,-0.014887281,0,—,0,0,0,0,100078,-0.130316,—,0,—,0,0,2758,0.027558504,31.83333333,1.2513,3.486554321,-13858,-1.214886029,—,0,—,0,0.012831,0.00193,0.004593,0.01351,0.036864,0.010798,—,—,—,—,—,0.034480696,374557.431,-19838.34822,0.04612931,284.0873411,1.24664147,#VALUE!,73.96425518,#VALUE!,#N/A N/A,#N/A N/A,9.278313441,901259,0.107778208
BHGE ,0,0.296,-0.296,—,0,—,0,—,0,0,—,0,0,0,0,—,0,—,0,—,0,0,—,0,0,—,0,—,0,—,0,—,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,—,—,—,—,—,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!
BHF ,0,0.296,-0.296,—,0,—,0,—,0,0,—,0,0,0,0,—,0,—,0,—,0,0,—,0,0,—,0,—,0,—,0,—,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,—,—,—,—,—,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!
PFE ,0.074115127,0.296,-0.221884873,32399,0.22482232,457,-0.039915966,37460,-0.038056597,0.220821153,187995.0596,3.439542229,8.20258561,12.1924288,0.062785473,54657,-0.16246,44836,0.820315788,22919,0.419324149,-0.033361451,14568,0.266534936,0.455926444,1.6254,-0.002699718,16746,-0.172628458,-1327,-0.20060241,15419,-0.170129171,0.178348,0.077956,0.131444,0.095618,0.279269,0.048441,3.3708,1.1101,2.2213,1.4758,12.6194,0.073472513,597344.2623,20364.05058,0.292439807,45.86302309,3.414754286,0.13689006,31.44252883,0.279268895,1522,10.02890933,15.42950007,140069,0.064810914
PG ,0.25437232,0.296,-0.04162768,4436,0.602601156,1791,0.122884013,29778,-0.069844443,1.560564074,195448,2.383337805,12.03571649,20.97081545,-0.05423757,82006,-0.006698,40595,0.495024754,16239,0.198022096,-0.129556175,10500,0.128039412,-0.092009685,3.801,-0.037721519,13284,0.004005744,-3964,0.199032063,9320,-0.060957179,0.163234,0.079498,0.118307,0.093619,0.158952,0.053345,6.2552,0.1781,0.8797,0.4217,3.3512,0.06424882,650841.2698,1625.057575,0.606109432,46.50269384,2.054936529,0.024388459,31.74186946,0.158951784,769,16.95058518,16.11411265,99521,0.062057404
T ,-0.023340783,0.296,-0.319340783,4868,0.598686371,333,0.266159696,69844,0.07862184,2.08657675,253457.8175,1.988934017,8.139300498,12.85869908,0.098397426,127434,0.005611,72206,0.566614875,31140,0.244361787,0.128465302,7264,0.057002056,0.84178499,2.3747,0.373691213,39176,0.127594048,-19465,-0.032073595,19711,0.34702385,0.073412,0.026767,0.060202,0.082351,0.10199,-0.030357,1.9674,0.1531,0.7143,0.5513,2.0126,0.06482548,526586.7769,-628.0067208,0.469580309,75.34818491,1.534533249,0.010028721,42.97061013,0.10199005,3444,3.773809524,14.19556101,164112,0.070444557
TRV ,0.18081704,0.296,-0.11518296,330,0.542056075,0,0,6350,-0.038607116,0,33124.868,1.286902409,0,10.25537709,0.117838046,25740,0.011554,—,0,—,0,0,2454,0.095337995,0.734275618,6.3776,0.85094033,3230,0.489165514,0,0,3230,0.489165514,0.098392,0.023607,0.088109,0.021204,0.137685,0.070326,—,—,—,—,—,0.076333173,843934.4262,-5150.142456,0.245712677,24.99507971,1.077579021,#VALUE!,19.99685089,#VALUE!,378,#N/A N/A,11.26123654,99062,0.088800195
UTX ,0.384369115,0.296,0.088369115,4819,-0.191442953,1393,0.073189522,23221,1.263255361,1.998479583,95149.8065,1.648814835,10.33338472,18.09963981,0.323236918,57708,0.035047,15555,0.269546683,9208,0.159561932,0.010868372,5130,0.08889582,0.030327375,5.3804,0.007980816,6646,0.008497724,-1389,0.495156082,5257,-0.071365483,0.214671,0.06801,0.146772,0.138802,0.133153,0.134069,3.7754,0.2026,1.2448,0.6692,4.7847,0.091394997,264715.5963,109.3271054,0.765048621,85.03680375,1.272186733,0.041086158,45.95669728,0.133153116,893,8.604703247,15.24239516,51671,0.065606487
ADI ,0.287585338,0.296,-0.008414662,3900.378,0.085711693,0,0,821.598,-0.073081852,-3.296758366,8922.537,3.303246183,9.554254771,13.07588157,0.046382358,2701.142,-0.09761,1741.001,0.644542568,933.881,0.345735618,-0.215386929,651.236,0.241096544,-0.249203937,2.1479,-0.231548066,814.542,-0.095484987,-132.176,0.074636574,682.366,-0.122396091,0.163611,0.119515,0.139085,0.137499,0.305074,0.077294,7.8719,7.4282,8.9438,8.0755,6.1626,0.111573372,293602.3913,93.74077351,0.495714161,19.72454235,4.404308629,0.189488372,16.47493652,0.305073928,26.422,31.18794944,18.53905539,4953.374,0.053940181
WMT ,0.105306728,0.296,-0.190693272,6550,-0.114266396,4446,0.643622921,45096,-0.090751457,1.114142845,252720.48,0.565991906,7.304693471,23.51982131,0.04408758,446509,0.058457,111516,0.249750845,34597,0.077483321,0.042612181,15699,0.035159426,-0.042101409,4.5922,0.130610336,24255,0.02588504,-13510,0.063863296,10745,-0.01818348,0.224501,0.08391,0.148543,0.138978,0.059329,0.152358,4.6682,0.1051,0.8824,0.2004,1.7953,0.064555374,202958.6364,10271.16799,2.386549007,59.52402951,0.475478882,0,37.31351928,0.059329151,2320,11.41853448,13.36189795,129468,0.074839668
CSCO ,0.634147874,0.296,0.338147874,48716,0.09265448,15,-0.545454545,16328,-0.029366306,-2.556880082,51706.26,1.122560518,4.081965738,4.988544139,-0.12461605,46061,0.065783,28209,0.612426999,12667,0.275004885,0.246751969,8041,0.174572849,0.238983051,1.5595,0.199984611,11491,0.140093263,-1126,-0.04088586,10365,0.163952835,0.163249,0.089917,0.129265,0.123724,0.218515,0.132776,3.2966,2.7475,3.4929,3.2004,10.2052,0.09220221,691201.8488,1346.556779,0.515068156,31.82783961,1.850196479,0.119146349,24.14348874,0.218514578,596,16.88758389,10.17650823,65975,0.098265532
INTC ,0.271334348,0.296,-0.024665652,22586,0.466718618,0,0,13448,0.834401855,-0.412364621,90879.12,1.703738588,4.101043321,11.56664376,-0.197053242,53341,-0.012185,33151,0.621491911,22160,0.41544028,-0.058663608,11005,0.206314092,-0.149667748,2.1316,-0.108974627,18884,-0.099174736,-11027,0.024433296,7857,-0.229630356,0.226641,0.141571,0.187824,0.177889,0.274423,0.137055,4.2896,1.4081,2.4312,1.7053,1.7125,0.094639879,508009.5238,5150.760906,0.686190262,26.26408609,1.894772876,0.190247652,20.80091569,0.274423052,90,162.6444444,9.490354366,67743,0.105370143
GM ,0.452508196,0.296,0.156508196,27410,-0.149259754,1558,-0.527305825,16050,0.160268922,0.429084042,29590.5488,0.194347341,-1.117678897,11.66359827,0.779666174,152256,0.013176,12020,0.078945986,-26475,-0.173884773,-3.859071274,4859,0.031913356,-0.358970976,3.8797,-0.197131801,10605,0.298677443,-8068,0.291086574,2537,0.323422014,0.181367,0.042092,0.121916,0.210779,-0.199421,0.181367,0.8478,0.5077,1.2964,0.7002,1.3145,0.090295741,714816.9014,-29483.79423,1.035667035,43.37837838,0.296525457,0.048602354,30.25447691,-0.199420712,489,-62.09202454,7.430927557,26042,0.134572702
MSFT ,0.122149179,0.296,-0.173850821,63040,0.19457288,0,0,11944,0.001929368,-2.066154468,205278.79,2.784460616,8.300800243,7.001084206,0.16025881,73723,0.054044,56193,0.762218032,24730,0.335444841,-0.173655896,16978,0.230294481,-0.266609071,2.685,0.029998466,31626,0.171593687,-2305,-0.021231423,29321,0.190023946,0.275068,0.147651,0.234439,0.219669,0.2952,0.166178,4.7883,1.9285,2.6029,2.4113,13.7206,0.094424966,784287.234,9698.034922,0.641139254,17.9979808,3.483765446,0.133079229,15.25278711,0.295199598,380,57.27105263,11.39302973,80685,0.087772965
DG ,0.067513226,0.296,-0.228486774,126.126,-0.746452881,0,0,2618.481,-0.203679977,1.411130147,16671.8077,1.125926658,9.439301567,31.12624403,0.334857374,14807.188,0.135956,4697.91,0.31727226,1766.212,0.119280717,0.155147967,766.685,0.051777893,0.221114043,2.3508,0.270771393,1050.48,0.273796994,-514.861,0.224707715,535.619,0.324841883,0.175663,0.079719,0.122296,0.126512,0.100681,0.175663,7.1935,0.0835,1.5068,0.0835,2.0403,0.066183371,164524.3111,447.2025464,1.539629489,56.0152972,0.966513963,0,35.90372111,0.100681102,204.991,7.272533916,17.84054534,7341.213,0.056052098
CI ,0.577379233,0.296,0.281379233,3243,-0.35333998,114,0,5187,0.018256773,0.598153846,17338.4183,0.596334249,5.334897938,8.928124768,0.436323741,29075,0.333532,24075,0.828030954,3250,0.11177988,0.523675574,1623,0.055821152,0.288095238,6.1018,0.23116967,2350,0.576123407,-408,-0.033175355,1942,0.816651076,0.182739,0.031083,0.127829,0.1247,0.092519,0.181457,0.7361,0.1042,0.1697,0.1614,5.7598,0.085569272,#N/A N/A,329.0386735,0.556826996,52.48406354,0.523694712,0,34.41937624,0.092519347,268,10.03731343,8.761303163,15070,0.114138272
KMI ,0.014053042,0.296,-0.281946958,714,0.73553719,10234,0.950410703,31810,0.841101536,7.737248072,77920.1715,7.813112554,19.38795011,112.9277848,0.624792798,9973,0.206669,3509,0.351849995,4019,0.402988068,0.527788337,315,0.03158528,-0.470053836,1.084,0.43785648,2795,0.181768213,-2105,0.494816077,690,-0.278921517,0.036657,0.006366,0.041742,0.05282,0.260002,-0.005968,0.851,0.1366,0.7028,0.3915,1.3278,0.051196519,933364.5297,-74.32254765,0.201552111,131.9917012,3.213106387,#VALUE!,56.89500984,0.260002005,1427,1.817098809,32.59306274,58690,0.030681376
